housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
36,2110,389,952,370,3.8,187500
45,2179,401,1159,399,3.4839,180600
45,2457,445,1129,422,4.0588,182800
44,2147,399,1175,401,4.1974,179300
43,1676,340,924,328,3.6,179400
35,2976,518,1424,538,4.267,210300
34,3036,533,1366,500,4.2386,192300
35,2472,398,1171,390,5.5797,198100
36,1487,249,641,243,4.0682,196200
38,2012,347,880,332,3.1734,181600
37,3342,569,1635,557,4.7933,186900
37,3156,534,1495,543,4.8125,188300
40,1748,318,914,317,3.8676,184000
33,3429,681,1798,694,3.9395,184700
42,3592,703,1625,665,3.2434,179900
38,1035,247,599,224,3.0917,167200
32,3028,811,2037,703,3.0645,165400
33,2431,655,1854,603,2.7019,154000
39,2069,500,1408,478,3.1115,153500
40,1340,313,766,271,3.4722,135400
39,1160,259,725,274,2.2222,158300
32,2015,318,1019,340,6.1104,240700
22,3882,816,1830,743,4.2733,180700
27,3239,671,1469,616,3.2465,230600
28,2932,739,1198,624,3.2417,210800
38,2104,409,1039,394,3.875,165300
29,1694,251,690,242,6.0501,254200
18,3000,419,1155,415,6.8233,332600
23,2419,348,1066,384,6.3501,350000
28,2280,610,1255,587,2.6719,161200
21,5031,1168,2461,1042,3.875,179300
33,1547,372,1063,356,2.5625,154300
31,3300,790,2181,740,3.016,161800
17,5018,1439,3069,1299,2.7694,161900
35,1813,393,1093,374,3.6818,165400
37,1997,436,1349,437,2.1382,166600
37,901,191,599,206,3.7303,149700
35,686,142,480,149,3.875,162100
33,1954,464,1293,448,3.0489,152600
27,2630,722,1414,634,2.8203,195200
35,1130,192,543,184,4.3897,190600
35,1184,200,572,194,4.7143,193800
34,656,115,342,112,4.6875,200600
29,2544,643,2332,603,3.2091,150000
36,1305,225,768,234,4.275,185300
36,1755,316,913,299,4.1302,172700
35,2843,652,1726,643,3.09,174100
25,2538,494,1185,501,4.5417,194400
28,1784,311,735,278,4.6635,206700
31,1797,327,796,319,4.4427,204500
36,410,76,252,82,4.5303,175000
26,162,27,86,25,2.375,137500
18,9963,2031,5613,1946,3.8171,187200
35,2361,458,1727,467,4.5281,173600
19,862,167,407,183,4.3456,163000
18,4335,808,2041,734,3.4861,331600
31,1487,280,854,301,5.2312,197600
8,3592,849,1907,746,3.6708,197900
40,432,102,264,77,3.8875,228100
34,1457,242,735,249,3.9167,189500
32,1578,284,836,292,3.9063,184200
29,2172,435,1377,408,3.7895,180900
36,1340,245,789,248,3.8,172000
36,1116,199,662,226,5.7309,177900
36,1885,307,853,271,4.1141,173100
36,1180,212,664,200,5.2838,172600
30,5267,1253,4065,1113,3.3479,182100
23,1897,440,1109,418,3.142,179500
31,767,171,548,185,3.7614,176000
33,691,127,431,149,4.25,192600
36,786,133,463,160,3.9338,182700
22,5861,1516,5436,1463,2.5158,134900
27,2784,723,2028,693,2.4808,157600
25,4524,860,2426,862,4.7083,190900
37,1468,304,1038,282,4.1652,158200
20,1655,450,857,430,3.5541,350000
33,1227,286,848,291,3.8036,158200
33,1160,252,729,220,3.8259,146100
33,952,172,369,159,3.2331,226700
35,2072,352,1001,350,4.7109,198700
32,2964,547,1472,527,4.2468,221200
35,1032,173,453,176,6.396,208500
35,657,118,328,134,3.8125,204200
32,1540,324,793,302,3.2857,193200
35,1298,236,632,204,3.8929,209500
36,1409,271,1002,281,3.7262,164900
37,1383,259,808,241,4.0125,161400
36,1151,216,727,215,4.1719,187000
35,899,179,455,185,4.2857,190400
37,1793,364,1534,346,3.6458,156600
17,2485,518,1139,550,2.6875,157300
35,1931,376,1175,337,3.7292,168100
24,2329,465,1401,453,4.5913,177600
12,6711,1374,3388,1289,3.8625,208900
23,1939,356,841,364,3.3611,169200
16,1642,346,705,351,2.8971,163900
34,1619,293,1148,310,4.0326,164700
35,517,108,391,107,4.0682,156900
36,1570,274,992,249,5.3644,168800
35,1213,221,790,243,4.7019,174100
27,1826,309,1016,313,5.64,206500
26,2261,443,1039,395,3.7931,203900
9,3666,711,2341,703,4.6458,217000
36,1633,345,1382,338,3.694,159600
31,2155,522,1858,437,2.652,159800
32,1295,280,1156,300,3.5,154300
32,1295,295,1097,328,3.2386,149600
33,1518,302,831,268,5.097,188600
17,3314,638,1873,602,4.3875,238500
22,3009,497,1640,514,4.625,235300
6,2605,474,1568,433,5.0406,261400
17,5159,832,3174,817,5.8704,234400
18,1726,276,1186,310,5.3226,231700
16,1816,365,1367,355,4.235,156300
13,2578,551,1680,528,4.825,222000
15,2576,418,1657,410,5.5218,254400
16,1644,251,1033,267,6.5116,244300
16,1606,240,1117,268,6.0661,247000
16,3349,544,2003,488,6.0074,236500
15,3475,686,2568,653,4.6211,151400
16,1893,338,1461,344,5.225,213700
14,1727,302,1116,273,5.3428,243600
15,6243,1273,3163,1274,3.7462,212500
24,2077,383,1488,389,4.5721,214700
18,1165,333,855,319,3.6923,213200
16,4371,889,2530,817,4.6786,256000
2,838,295,240,149,2.875,237500
15,3052,760,2097,728,3.3617,178100
17,4313,717,2629,721,5.7579,231800
36,385,94,295,92,2.9706,147900
10,3046,678,2056,628,3.9022,191700
21,4342,783,2172,789,4.6146,247600
15,3575,597,1777,559,5.7192,283500
20,4126,1031,2079,975,3.6832,216900
31,2878,478,1276,485,6.2073,282500
6,4405,717,2071,688,5.8151,295600
14,16199,2993,8117,2847,5.8322,281800
14,14917,2708,8012,2606,5.6277,269800
12,5719,1064,3436,1057,5.2879,231200
8,8647,1407,5019,1379,6.5615,318300
15,8112,1376,4576,1348,5.6758,253400
7,10648,1818,6075,1797,6.1047,278200
5,1150,311,648,245,3.5714,300000
3,14014,2861,7205,2753,6.0824,273500
23,4332,857,2461,829,4.3594,223400
35,1716,312,914,316,5.5737,214500
31,4981,964,2841,924,4.8962,220200
24,8444,1492,4446,1491,4.6978,240300
6,3028,778,1531,736,4.4259,158000
26,2068,532,1434,495,3.3008,224200
33,1325,274,909,267,4.5687,177200
24,2563,485,1174,501,3.8179,216100
18,5505,1005,2641,971,5,269700
20,6462,1294,3288,1235,4.3393,231200
4,3746,993,1606,838,4.1387,162500
13,8918,1823,4518,1772,4.8052,254000
31,1949,344,986,322,4.6349,196200
17,4924,1247,3080,1182,3.168,189400
17,5133,1375,3386,1339,3.1326,220800
16,6647,2098,4649,1903,2.9074,213800
15,5674,748,2412,714,8.3996,442900
21,10687,1540,4552,1520,6.6478,333400
25,1354,192,596,220,6.629,352400
27,3715,526,1631,538,6.2179,305300
33,2095,342,941,304,5.761,259600
29,3517,645,1724,585,4.6641,248900
31,2537,382,1067,410,6.7599,356000
14,5106,1207,2738,1108,3.9909,236000
23,2215,475,1278,492,4.2955,218800
28,2949,529,1538,545,4.9615,228000
18,2375,652,1252,586,2.6198,235900
28,2312,496,1344,467,4.7135,203200
35,2277,420,1353,413,4.75,197000
26,2506,387,1273,406,5.4299,236400
28,2829,566,1610,540,4.6,223200
26,3179,703,2142,639,4.1947,222700
26,2332,371,1285,404,5.388,225000
18,3584,715,1673,661,3.9444,240100
28,3046,507,1772,516,5.3283,227900
28,2414,415,1106,453,4.8403,268600
29,4133,744,2023,749,5.1616,275100
34,2791,495,1276,468,4.9167,256300
27,6103,1249,3026,1134,4.1591,332400
32,2572,406,1128,395,5,287600
26,1910,371,852,357,5.8325,298900
27,1890,303,889,314,5.7057,287600
25,5405,939,2831,923,5.0423,222200
26,3761,623,1776,613,4.5317,232600
25,3333,511,1671,504,5.4359,258300
23,4925,948,2530,894,5.0824,230900
33,3994,764,2721,763,5.2308,196900
22,5811,1125,3215,1086,4.4107,223500
26,4211,741,2352,734,5.2396,223900
27,5532,973,2855,960,4.7478,243500
7,28258,3864,12203,3701,8.4045,451100
9,4909,577,1981,591,9.7194,500001
10,7441,1588,3571,1466,5.1643,193100
23,4314,676,1972,623,5.3813,264400
26,2016,322,1105,357,6.0878,246900
13,5377,744,2759,760,6.868,337300
22,9167,1373,4319,1404,6.992,284800
26,3087,532,1597,483,4.9118,217300
23,3170,532,1446,515,4.4357,291700
26,2145,369,1285,377,4.9464,223800
25,4209,731,2568,703,5.2882,223100
23,4247,835,2357,823,5.1321,211300
25,4458,922,2998,890,3.9667,218500
17,407,97,307,100,3.1696,156300
20,6483,1068,3526,1060,5.0838,248200
35,1867,343,1213,338,4.8214,186000
6,2918,672,1911,639,4.1406,178200
34,2316,478,1524,467,3.7364,190400
31,1240,264,719,236,3.535,210300
16,4458,856,3038,870,5.0739,208000
18,1746,437,1268,404,3.256,183300
19,4572,712,2346,709,6.0667,245700
21,4280,673,2216,681,5.7072,242200
7,6352,1390,3223,1316,4.9867,181700
4,7477,1576,2937,1506,5.1437,299400
22,4638,716,2302,687,5.347,219500
25,4377,668,2038,671,5.7233,231800
26,3816,637,1935,642,4.4697,221300
26,2806,459,1453,444,4.9107,213800
26,4822,845,2288,805,4.2281,206000
15,6473,1027,2484,970,5.0143,271100
6,8072,1050,3386,1062,7.2494,336500
46,1280,209,512,208,5.1406,315600
24,3166,424,1081,400,8.3337,500001
13,3742,555,1590,559,7.316,285400
18,7397,1137,3126,1115,6.4994,323000
23,1655,223,706,219,7.2211,291900
3,2456,582,793,456,4.4087,225600
23,2179,308,926,299,5.9345,259600
20,1804,254,831,260,6.177,262900
18,3631,547,1700,520,5.817,257300
18,2876,423,1395,427,6.3132,259200
12,7490,1207,3329,1136,6.3373,339700
23,2234,270,854,286,7.333,337200
22,1898,239,734,245,6.2918,334100
16,4070,624,1543,577,6.5214,311500
25,2244,301,937,324,6.4524,296900
20,2948,471,1181,474,6.0604,247900
19,2034,288,852,295,6.5285,300400
15,2130,273,876,285,7.2639,332400
7,9540,1294,3926,1229,7.4353,389800
29,2702,680,1360,642,3.1127,233000
39,522,116,161,102,2.4896,238500
52,775,134,315,123,5.0677,233300
3,1565,464,769,461,2.1187,231300
20,1309,184,514,172,10.9506,475800
13,5519,833,2444,825,7.0691,393200
10,4337,800,1813,743,5.5,247200
28,1812,294,853,278,4.9879,229400
4,4719,741,1895,742,6.8132,282500
14,4236,701,1833,663,5.6399,300600
22,3634,664,1699,640,4.1597,293200
27,1569,242,583,214,5.7519,278500
13,13182,2074,4847,1950,5.6417,352900
43,228,40,83,42,10.3203,400000
47,127,23,51,21,4.3472,375000
13,9621,1344,4389,1391,6.6827,313700
4,6159,1510,2649,1241,3.62,139300
16,4290,554,1952,576,7.3588,327500
26,1786,306,771,279,5.7239,430600
32,404,74,144,58,4.2083,125000
17,1671,352,729,252,6.1023,450000
12,5608,1049,2595,1067,3.9864,200200
11,12070,2220,5826,2125,4.8624,192400
25,494,81,254,85,9.1531,418800
22,5533,943,2474,910,4.7361,216800
17,3956,639,2222,662,5.4324,215500
12,1906,351,802,319,4.9375,227700
